id,establecimiento,tipo,calle,altura,piso_dpto,cruce,barrio_localidad,ciudad,partido_comuna,provincia_region,pais,aprobado,observacion,formattedaddress,latitude,longitude,habilitado,confidence,condones,prueba,mac,ile,dc,ssr,es_rapido,tel_distrib,mail_distrib,horario_distrib,responsable_distrib,web_distrib,ubicacion_distrib,comentarios_distrib,tel_testeo,mail_testeo,horario_testeo,responsable_testeo,web_testeo,ubicacion_testeo,observaciones_testeo,tel_mac,mail_mac,horario_mac,responsable_mac,web_mac,ubicacion_mac,comentarios_mac,tel_ile,mail_ile,horario_ile,responsable_ile,web_ile,ubicacion_ile,comentarios_ile,tel_dc,mail_dc,horario_dc,responsable_dc,web_dc,ubicacion_dc,comentarios_dc,tel_ssr,mail_ssr,horario_ssr,responsable_ssr,web_ssr,ubicacion_ssr,comentarios_ssr,servicetype_condones,servicetype_prueba,servicetype_mac,servicetype_ile,servicetype_dc,servicetype_ssr,friendly_condones,friendly_prueba,friendly_mac,friendly_ile,friendly_dc,friendly_ssr
66,"Profamilia - Rosa Cisneros","Asociación Miembro IPPF/WHR","Calle Restauración",161,,,Santiago,Santiago,Santiago,Santiago,"República Dominicana",1,,,19.4529446,-70.707842,1,,SI,SI,SI,SI,NO,SI,SI,"809 582 7033",clinica.rosacisneros@profamilia.org.do,"Lunes a Viernes 8 a.m. - 6 p.m. / Sábados 8 a.m. - 2 p.m.  / Emergencias 24/7/365",,http://profamilia.org.do/,,,"809 582 7033",clinica.rosacisneros@profamilia.org.do,"Lunes a Viernes 8 a.m. - 6 p.m. / Sábados 8 a.m. - 2 p.m.  / Emergencias 24/7/365",,http://profamilia.org.do/,,"Realización de pruebas de VIH y otras ITS","809 582 7033",clinica.rosacisneros@profamilia.org.do,"Lunes a Viernes 8 a.m. - 6 p.m. / Sábados 8 a.m. - 2 p.m.  / Emergencias 24/7/365",,http://profamilia.org.do/,,,"809 582 7033",clinica.rosacisneros@profamilia.org.do,"Lunes a Viernes 8 a.m. - 6 p.m. / Sábados 8 a.m. - 2 p.m.  / Emergencias 24/7/365",,http://profamilia.org.do/,,,,,,,,,,"809 582 7033",clinica.rosacisneros@profamilia.org.do,"Lunes a Viernes 8 a.m. - 6 p.m. / Sábados 8 a.m. - 2 p.m.  / Emergencias 24/7/365",,http://profamilia.org.do/,,,,,,,,,SI,SI,SI,SI,SI,SI
67,"Profamilia - Sabana Perdida","Asociación Miembro IPPF/WHR","Avenida Charles de Gaulle",46,"Los Palmares",,"Sabana Perdida","Sabana Perdida","Santo Domingo","Santo Domingo","República Dominicana",1,,,18.5447586,-69.8748048,1,,SI,SI,SI,NO,NO,SI,SI,"809 239 4523",sabana_profamilia@yahoo.es,"Lunes a Viernes 8 a.m. - 6 p.m. / Sábados 8 a.m. - 2 p.m.",,http://profamilia.org.do/,,,"809 239 4523",sabana_profamilia@yahoo.es,"Lunes a Viernes 8 a.m. - 6 p.m. / Sábados 8 a.m. - 2 p.m.",,http://profamilia.org.do/,,"Realización de pruebas de VIH y otras ITS","809 239 4523",sabana_profamilia@yahoo.es,"Lunes a Viernes 8 a.m. - 6 p.m. / Sábados 8 a.m. - 2 p.m.",,http://profamilia.org.do/,,,"809 239 4523",sabana_profamilia@yahoo.es,"Lunes a Viernes 8 a.m. - 6 p.m. / Sábados 8 a.m. - 2 p.m.",,http://profamilia.org.do/,,,,,,,,,,"809 239 4523",sabana_profamilia@yahoo.es,"Lunes a Viernes 8 a.m. - 6 p.m. / Sábados 8 a.m. - 2 p.m.",,http://profamilia.org.do/,,,,,,,,,SI,SI,SI,SI,SI,SI
68,"Profamilia - San Cristobal","Asociación Miembro IPPF/WHR","Avenida Libertad",66,,,"San Cristóbal","San Cristóbal","San Cristóbal","San Cristóbal","República Dominicana",1,,,18.4182299,-70.1109511,1,,SI,SI,SI,NO,NO,SI,SI,"809 528 8000",,"Lunes a Viernes 8 a.m. - 6 p.m. / Sábados 8 a.m. - 2 p.m.",,http://profamilia.org.do/,,,"809 528 8000",,"Lunes a Viernes 8 a.m. - 6 p.m. / Sábados 8 a.m. - 2 p.m.",,http://profamilia.org.do/,,"Realización de pruebas de VIH y otras ITS","809 528 8000",,"Lunes a Viernes 8 a.m. - 6 p.m. / Sábados 8 a.m. - 2 p.m.",,http://profamilia.org.do/,,,"809 528 8000",,"Lunes a Viernes 8 a.m. - 6 p.m. / Sábados 8 a.m. - 2 p.m.",,http://profamilia.org.do/,,,,,,,,,,"809 528 8000",,"Lunes a Viernes 8 a.m. - 6 p.m. / Sábados 8 a.m. - 2 p.m.",,http://profamilia.org.do/,,,,,,,,,SI,SI,SI,NO,SI,SI
69,"Profamilia - San Francisco","Asociación Miembro IPPF/WHR","Calle Pedro Francisco Bonó",39,,"Padre Billini","San Francisco de Macorís","San Francisco de Macorís",Duarte,Duarte,"República Dominicana",1,,,19.3008031,-70.2563777,1,,SI,SI,SI,NO,NO,SI,SI,"809 588 2376",clinica.sanfrancisco@profamilia.org.do,"Lunes a Viernes 8 a.m. - 6 p.m. / Sábados 8 a.m. - 2 p.m.",,http://profamilia.org.do/,,,"809 588 2376",clinica.sanfrancisco@profamilia.org.do,"Lunes a Viernes 8 a.m. - 6 p.m. / Sábados 8 a.m. - 2 p.m.",,http://profamilia.org.do/,,"Realización de pruebas de VIH y otras ITS","809 588 2376",clinica.sanfrancisco@profamilia.org.do,"Lunes a Viernes 8 a.m. - 6 p.m. / Sábados 8 a.m. - 2 p.m.",,http://profamilia.org.do/,,,"809 588 2376",clinica.sanfrancisco@profamilia.org.do,"Lunes a Viernes 8 a.m. - 6 p.m. / Sábados 8 a.m. - 2 p.m.",,http://profamilia.org.do/,,,,,,,,,,"809 588 2376",clinica.sanfrancisco@profamilia.org.do,"Lunes a Viernes 8 a.m. - 6 p.m. / Sábados 8 a.m. - 2 p.m.",,http://profamilia.org.do/,,,,,,,,,SI,SI,SI,SI,SI,SI
70,"Fundación CEPAM Guayaquil","Asociación Miembro IPPF/WHR","Avenida General Francisco Robles",,,"3er Callejon",Guayaquil,Guayaquil,Guayaquil,Guayas,Ecuador,1,,,-2.22831,-79.88801,1,,SI,SI,SI,SI,NO,SI,NO,"593 4 2447347 / 2446945 / 2447649",cepam@cepamgye.org,,,https://cepamgye.wordpress.com/,,,"593 4 2447347 / 2446945 / 2447649",cepam@cepamgye.org,,,https://cepamgye.wordpress.com/,,"Realización de pruebas de ITS","593 4 2447347 / 2446945 / 2447649",cepam@cepamgye.org,,,https://cepamgye.wordpress.com/,,,"593 4 2447347 / 2446945 / 2447649",cepam@cepamgye.org,,,https://cepamgye.wordpress.com/,,,,,,,,,,"593 4 2447347 / 2446945 / 2447649",cepam@cepamgye.org,,,https://cepamgye.wordpress.com/,,,,,,,,,SI,SI,SI,SI,SI,SI
71,"CEPAM - Centro de Atención Integral a la VBG - Fiscalía","Asociación Miembro IPPF/WHR","Calle Victor Manuel Rendon.",,"Edificio de la Fiscalía Provincial del Guayas",Cordova,Guayaquil,Guayaquil,Guayaquil,Guayas,Ecuador,1,,,-2.1903656,-79.8812706,1,,NO,NO,NO,NO,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,SI,SI,SI,SI,SI
72,"CEPAM - Centro de Atención Integral a la VBG - Santa Elena","Asociación Miembro IPPF/WHR","Federacion de Comunas de Santa Elena.",,"Frente al Museo Amantes de Sumpa",,"Santa Elena","Santa Elena","Santa Elena","Santa Elena",Ecuador,1,,,-2.233741,-80.868071,1,,NO,NO,NO,NO,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,SI,SI,SI,SI,SI
73,"CEPAM - Centro de Salud Hospital Santa Lucía","Clínica Asociada","Calle Santos Coloma",,,"Antonio Neuma","Santa Lucía","Santa Lucía","Santa Lucía",Guayas,Ecuador,1,,,-1.7139925,-79.985009,1,,SI,SI,SI,SI,NO,SI,NO,,,,,,,,,,,,,,"Realización de pruebas de ITS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,SI,SI,SI,SI,SI
74,"CEPAM - Centro de Salud Materno Infantil Martha de Roldós","Clínica Asociada","Cooperativa Martha de Roldos ",,"Mz 514 Solar 7",,Guayaquil,Guayaquil,Guayaquil,Guayas,Ecuador,1,,,-2.1709979,-79.9223592,1,,SI,SI,SI,SI,NO,SI,NO,,,,,,,,,,,,,,"Realización de pruebas de ITS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,SI,SI,SI,SI,SI
75,"CEPAM - Centro de Salud Materno Infantil Bastión Popular Area 12","Clínica Asociada","Bastión Popular",,"Bloque 3 Mz 806 Solar 16",,Guayaquil,Guayaquil,Guayaquil,Guayas,Ecuador,1,,,-2.093563,-79.92381,1,,SI,SI,SI,SI,NO,SI,NO,,,,,,,,,,,,,,"Realización de pruebas de ITS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,SI,SI,SI,SI,SI
76,"CEPAM - Hospital Daule","Clínica Asociada","Avenida 9 de octubre",,"Ciudadela El Recuerdo","Calle 5ta",Daule,Daule,Daule,Guayas,Ecuador,1,,,-1.8706695,-79.9822804,1,,SI,SI,SI,SI,NO,SI,NO,,,,,,,,,,,,,,"Realización de pruebas de ITS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,SI,SI,SI,SI,SI
77,"CEPAM - Hospital Salitre","Clínica Asociada","Avenida 27 Noviembre",,,"Padre Aguirre",Salitre,Salitre,Salitre,Guayas,Ecuador,1,,,-1.8341992,-79.8156667,1,,SI,SI,SI,SI,NO,SI,NO,,,,,,,,,,,,,,"Realización de pruebas de ITS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,SI,SI,SI,SI,SI
78,"CEPAM - Centro de Salud Pedro Carbo","Clínica Asociada","Calle Heriberto Rusa",,"Sector Duran","María Auxiliadora","Pedro Carbo","Pedro Carbo","Pedro Carbo",Guayas,Ecuador,1,,,-1.8225929,-80.2245474,1,,SI,SI,SI,SI,NO,SI,NO,,,,,,,,,,,,,,"Realización de pruebas de ITS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,SI,SI,SI,SI,SI
79,"CEPAM - Hospital Playas","Clínica Asociada","Avenida 15 Agosto.",,"Vía El Morro",,Playas,Playas,Playas,Guayas,Ecuador,1,,,-2.6354081,-80.3800589,1,,SI,SI,SI,SI,NO,SI,NO,,,,,,,,,,,,,,"Realización de pruebas de ITS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,SI,SI,SI,SI,SI
80,"CEPAM - Centro de Salud Francisco Jacome","Clínica Asociada","Avenida Juan Pablo II.",,"Cooperativa Francisco Jacome",,Guayaquil,Guayaquil,Guayaquil,Guayas,Ecuador,1,,,-2.131668,-79.9429744,1,,SI,SI,SI,SI,NO,SI,NO,,,,,,,,,,,,,,"Realización de pruebas de ITS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,SI,SI,SI,SI,SI
81,"CEPAM - Hospital de Yaguachi","Clínica Asociada","Calle Dr. Jose Cevallos Ruiz",,"Via Babahoyo","Petita Jaramillo",Yaguachi,Yaguachi,Yaguachi,Guayas,Ecuador,1,,,-2.0943616,-79.6971083,1,,SI,SI,SI,SI,NO,SI,NO,,,,,,,,,,,,,,"Realización de pruebas de ITS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,SI,SI,SI,SI,SI
82,"CEPAM - Centro de Salud Posorja","Clínica Asociada","Calle 9 de octubre",,"Entre Simón Jaque y Calderón",,"24 de diciembre","24 de diciembre",Posorja,Guayas,Ecuador,1,,,-2.711153,-80.2460587,1,,SI,SI,SI,SI,NO,SI,NO,,,,,,,,,,,,,,"Realización de pruebas de ITS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,SI,SI,SI,SI,SI
83,"CEPAM - Centro de Salud Materno Infantil Camino al Sol","Clínica Asociada","Cooperativa Trinitaria",,,,Guayaquil,Guayaquil,Guayaquil,Guayas,Ecuador,1,,,-2.1709979,-79.9223592,1,,SI,SI,SI,SI,NO,SI,NO,,,,,,,,,,,,,,"Realización de pruebas de ITS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,SI,SI,SI,SI,SI
84,"CEPAM - Hospital Universitario","Clínica Asociada","Vía Perimetral ","Km. 20",,,Guayaquil,Guayaquil,Guayaquil,Guayas,Ecuador,1,,,-2.0980816,-79.9486339,1,,SI,SI,SI,SI,NO,SI,NO,,,,,,,,,,,,,,"Realización de pruebas de ITS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,SI,SI,SI,SI,SI
85,"CEPAM - Centro de Salud Oramas Gonzalez","Clínica Asociada","Ciudadela Oramas Gonzalez",,"Mz 8 Solar 15",,Duran,Duran,"Duran ",Guayas,Ecuador,1,,,-2.1735488,-79.8297828,1,,SI,SI,SI,SI,NO,SI,NO,,,,,,,,,,,,,,"Realización de pruebas de ITS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,SI,SI,SI,SI,SI
86,"CEPAM - Centro de Salud CISNE","Clínica Asociada","Suburbio Calle 11",,"Entre la CH y la D",,Guayaquil,Guayaquil,Guayaquil,Guayas,Ecuador,1,,,-2.1709979,-79.9223592,1,,SI,SI,SI,SI,NO,SI,NO,,,,,,,,,,,,,,"Realización de pruebas de ITS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,SI,SI,SI,SI,SI
87,"ADS - Clínica y Laboratorio San Salvador","Asociación Miembro IPPF/WHR","25 Av. Nte.",583,,,"San Salvador","San Salvador","San Salvador","San Salvador","El Salvador",1,,,13.7047221,-89.2044353,1,,NO,NO,NO,NO,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"503 2132 8000",info@ads.org.sv,"Monday-Friday 6.30 a.m. - 6 p.m. / Saturday 6.30 a.m. - 12.30 p.m.",,http://www.ads.org.sv/,,,,,,,,,SI,SI,SI,SI,SI,SI
88,"ADS - Clínica para Jóvenes y Especialidades","Asociación Miembro IPPF/WHR","25 Av. Nte. ",709,,,"San Salvador","San Salvador","San Salvador","San Salvador","El Salvador",1,,,13.7063914,-89.2042713,1,,SI,NO,SI,NO,NO,SI,NO,"503 2132 8000",info@ads.org.sv,,,http://www.ads.org.sv/,,,,,,,,,,"503 2132 8000",info@ads.org.sv,,,http://www.ads.org.sv/,,,,,,,,,,,,,,,,,"503 2132 8000",info@ads.org.sv,,,http://www.ads.org.sv/,,,,,,,,,SI,SI,SI,SI,SI,SI
89,"ADS - Clínica y Laboratorio Soyapango","Asociación Miembro IPPF/WHR","6a. Av. Nte. ",I-28,,,Soyapango,Soyapango,"San Salvador","San Salvador","El Salvador",1,,,13.705684,-89.147589,1,,NO,NO,NO,NO,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,info@ads.org.sv,,,http://www.ads.org.sv/,,,,,,,,,SI,SI,SI,SI,SI,SI
90,"ADS - Clínica y Laboratorio Miralvalle","Asociación Miembro IPPF/WHR","Boulevard Constitución",11-A,,,Miralvalle,Miralvalle,"San Salvador","San Salvador","El Salvador",1,,,13.71979,-89.22224,1,,NO,NO,NO,NO,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,info@ads.org.sv,,,http://www.ads.org.sv/,,,,,,,,,SI,SI,SI,SI,SI,SI
91,"ADS - Clínica y Laboratorio Santa Tecla","Asociación Miembro IPPF/WHR","2a. Calle Poniente",6-3,,,"Santa Tecla","Santa Tecla","La Libertad","La Libertad","El Salvador",1,,,13.673343,-89.294115,1,,NO,NO,NO,NO,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,info@ads.org.sv,,,http://www.ads.org.sv/,,,,,,,,,SI,SI,SI,SI,SI,SI
92,"ADS - Clínica y Laboratorio Santa Ana","Asociación Miembro IPPF/WHR","9a. Calle Oriente",4,,,"Santa Ana","Santa Ana","Santa Ana","Santa Ana","El Salvador",1,,,13.989711,-89.555274,1,,NO,NO,NO,NO,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,info@ads.org.sv,,,http://www.ads.org.sv/,,,,,,,,,SI,SI,SI,SI,SI,SI
93,"ADS - Clínica y Laboratorio Sonsonate","Asociación Miembro IPPF/WHR","5a. Calle Poniente",1-3,,,"El Centro","El Centro",Sonsonate,Sonsonate,"El Salvador",1,,,13.722611,-89.726867,1,,NO,NO,NO,NO,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,info@ads.org.sv,,,http://www.ads.org.sv/,,,,,,,,,SI,SI,SI,SI,SI,SI
94,"ADS - Clínica y Laboratorio Chalatenango","Asociación Miembro IPPF/WHR","5a. Calle Oriente.",,"El Calvario",,"Santa Cecilia","Santa Cecilia",Chalatenango,Chalatenango,"El Salvador",1,,,14.044008,-88.936405,1,,NO,NO,NO,NO,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,info@ads.org.sv,,,http://www.ads.org.sv/,,,,,,,,,SI,SI,SI,SI,SI,SI
95,"ADS - Clínica y Laboratorio San Miguel","Asociación Miembro IPPF/WHR","7a. Av. Sur.",503,,,"San Miguel","San Miguel","San Miguel","San Miguel","El Salvador",1,,,13.473533,-88.179449,1,,NO,NO,NO,NO,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,info@ads.org.sv,,,http://www.ads.org.sv/,,,,,,,,,SI,SI,SI,SI,SI,SI
96,"ADS - Clínica y Laboratorio San Francisco Gotera","Asociación Miembro IPPF/WHR","4a.Calle Poniente",4,,,"San Francisco ","San Francisco ",Gotera,Morazán,"El Salvador",1,,,13.694579,-88.105602,1,,NO,NO,NO,NO,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,info@ads.org.sv,,,http://www.ads.org.sv/,,,,,,,,,SI,SI,SI,SI,SI,SI
97,"ADS - Clínica y Laboratorio La Unión","Asociación Miembro IPPF/WHR","2a. Calle Oriente",3-3,,"5° Avenida Sur","La Unión","La Unión","La Unión","La Unión","El Salvador",1,,,13.335718,-87.841653,1,,NO,NO,NO,NO,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,info@ads.org.sv,,,http://www.ads.org.sv/,,,,,,,,,SI,SI,SI,SI,SI,SI
98,"GPPA - St. Andrews","Member Association IPPF/WHR","Albert Street",,,,Grenville,Grenville,"Saint Andrews","Saint Andrews",Grenada,1,,,12.1242614,-61.6238565,1,,SI,SI,SI,NO,SI,SI,NO,"473 442 5442",gppa@spiceisle.com,,,,,,"473 442 5442",gppa@spiceisle.com,,,,,"Testing for STI","473 442 5442",gppa@spiceisle.com,,,,,,,,,,,,,"473 442 5442",gppa@spiceisle.com,,,,,"Cervical cancer screening ","473 442 5442",gppa@spiceisle.com,,,,,,,,,,,,SI,SI,SI,SI,SI,SI
99,"GPPA - St. George","Member Association IPPF/WHR","Deponthieu Street (Cockroach Alley) .",,"Betwen Market Hill and St. John's Street",,"Saint George","Saint George","Saint George","Saint George",Grenada,1,,,12.0560975,-61.7487996,1,,SI,SI,SI,NO,SI,SI,NO,"473 440 3341",gppa@spiceisle.com,,,,,,"473 440 3341",gppa@spiceisle.com,,,,,"Testing for STI","473 440 3341",gppa@spiceisle.com,,,,,,,,,,,,,"473 440 3341",gppa@spiceisle.com,,,,,"Cervical cancer screening ","473 440 3341",gppa@spiceisle.com,,,,,,,,,,,,SI,SI,SI,SI,SI,SI
100,"APROFAM - Clínica Amatitlán","Asociación Miembro IPPF/WHR","7a. Calle",04-17,"Plaza Mengalas",,"El Rosario","El Rosario",Amatitlán,Guatemala,Guatemala,1,,,14.478929,-90.621178,1,,SI,SI,SI,SI,NO,SI,NO,"5635 1463",,"Lunes a Viernes 8 a 17 hs. / Sábados 8 a 12 hs.",,http://www.aprofam.org.gt/,,,"5635 1463",,"Lunes a Viernes 8 a 17 hs. / Sábados 8 a 12 hs.",,http://www.aprofam.org.gt/,,"Realización de pruebas de ITS","5635 1463",,"Lunes a Viernes 8 a 17 hs. / Sábados 8 a 12 hs.",,http://www.aprofam.org.gt/,,,"5635 1463",,"Lunes a Viernes 8 a 17 hs. / Sábados 8 a 12 hs.",,http://www.aprofam.org.gt/,,,,,,,,,,"5635 1463",,"Lunes a Viernes 8 a 17 hs. / Sábados 8 a 12 hs.",,http://www.aprofam.org.gt/,,,,,,,,,SI,SI,SI,SI,SI,SI
101,"APROFAM - Clínica Antigua","Asociación Miembro IPPF/WHR","6a. Calle poniente",46,,,"Santa Lucía","Santa Lucía","Antigua Guatemala",Sacatepéquez,Guatemala,1,,,14.5552309,-90.7375022,1,,SI,SI,SI,NO,NO,SI,NO,"7832 2978",,"Lunes a Viernes 7.30 a 16 hs. / Sábados 8 a 12 hs.",,http://www.aprofam.org.gt/,,,"7832 2978",,"Lunes a Viernes 7.30 a 16 hs. / Sábados 8 a 12 hs.",,http://www.aprofam.org.gt/,,"Realización de pruebas de ITS","7832 2978",,"Lunes a Viernes 7.30 a 16 hs. / Sábados 8 a 12 hs.",,http://www.aprofam.org.gt/,,,,,,,,,,,,,,,,,"7832 2978",,"Lunes a Viernes 7.30 a 16 hs. / Sábados 8 a 12 hs.",,http://www.aprofam.org.gt/,,,,,,,,,SI,SI,SI,SI,SI,SI
102,"APROFAM - Clínica Barberena","Asociación Miembro IPPF/WHR","3a. Calle",02-36,,,"Zona 1","Zona 1",Barberena,"Santa Rosa",Guatemala,1,,,14.3061922,-90.363067,1,,SI,SI,SI,SI,NO,SI,NO,"7887 0107/30",,"Lunes a Viernes 7 a 16 hs. / Sábados 7 a 12 hs.",,http://www.aprofam.org.gt/,,,"7887 0107/30",,"Lunes a Viernes 7 a 16 hs. / Sábados 7 a 12 hs.",,http://www.aprofam.org.gt/,,"Realización de pruebas de ITS","7887 0107/30",,"Lunes a Viernes 7 a 16 hs. / Sábados 7 a 12 hs.",,http://www.aprofam.org.gt/,,,"7887 0107/30",,"Lunes a Viernes 7 a 16 hs. / Sábados 7 a 12 hs.",,http://www.aprofam.org.gt/,,,,,,,,,,"7887 0107/30",,"Lunes a Viernes 7 a 16 hs. / Sábados 7 a 12 hs.",,http://www.aprofam.org.gt/,,,,,,,,,SI,SI,SI,SI,SI,SI
103,"APROFAM - Clínica Chimaltenango","Asociación Miembro IPPF/WHR","5a. Avenida ""A""",05-49,"Zona 2",,"Santa Teresita","Santa Teresita",Chimaltenango,Chimaltenango,Guatemala,1,,,14.6649897,-90.8148829,1,,SI,SI,SI,SI,NO,SI,NO,"7839 2330/7050",,"Lunes a Viernes 7 a 15 hs. / Sábados 8 a 12.30 hs.",,http://www.aprofam.org.gt/,,,"7839 2330/7050",,"Lunes a Viernes 7 a 15 hs. / Sábados 8 a 12.30 hs.",,http://www.aprofam.org.gt/,,"Realización de pruebas de ITS","7839 2330/7050",,"Lunes a Viernes 7 a 15 hs. / Sábados 8 a 12.30 hs.",,http://www.aprofam.org.gt/,,,"7839 2330/7050",,"Lunes a Viernes 7 a 15 hs. / Sábados 8 a 12.30 hs.",,http://www.aprofam.org.gt/,,,,,,,,,,"7839 2330/7050",,"Lunes a Viernes 7 a 15 hs. / Sábados 8 a 12.30 hs.",,http://www.aprofam.org.gt/,,,,,,,,,SI,SI,SI,SI,SI,SI
104,"APROFAM - Clínica y Hospital Coatepeque","Asociación Miembro IPPF/WHR","3a. Avenida",07-32,,,"Zona 1","Zona 1",Coatepeque,Quetzaltenango,Guatemala,1,,,14.7048669,-91.8637115,1,,SI,SI,SI,SI,NO,SI,NO,"7963 6888",,"Lunes a Viernes 7.30 a 17 hs. / Sábados y Domingos 8 a 12 hs.",,http://www.aprofam.org.gt/,,,"7963 6888",,"Lunes a Viernes 7.30 a 17 hs. / Sábados y Domingos 8 a 12 hs.",,http://www.aprofam.org.gt/,,"Realización de pruebas de ITS","7963 6888",,"Lunes a Viernes 7.30 a 17 hs. / Sábados y Domingos 8 a 12 hs.",,http://www.aprofam.org.gt/,,,"7963 6888",,"Lunes a Viernes 7.30 a 17 hs. / Sábados y Domingos 8 a 12 hs.",,http://www.aprofam.org.gt/,,,,,,,,,,"7963 6888",,"Lunes a Viernes 7.30 a 17 hs. / Sábados y Domingos 8 a 12 hs.",,http://www.aprofam.org.gt/,,,,,,,,,SI,SI,SI,SI,SI,SI
105,"APROFAM - Clínica y Hospital Cobán","Asociación Miembro IPPF/WHR","6a. Avenida",03-51,"Zona 1",,"San Bartolomé","San Bartolomé",Cobán,"Alta Verapaz",Guatemala,1,,,15.4650586,-90.3842527,1,,SI,SI,SI,SI,NO,SI,NO,"7951 1263/62",,"Lunes a Viernes 7.30 a 16 hs. / Sábados 8 a 12 hs.",,http://www.aprofam.org.gt/,,,"7951 1263/62",,"Lunes a Viernes 7.30 a 16 hs. / Sábados 8 a 12 hs.",,http://www.aprofam.org.gt/,,"Realización de pruebas de ITS","7951 1263/62",,"Lunes a Viernes 7.30 a 16 hs. / Sábados 8 a 12 hs.",,http://www.aprofam.org.gt/,,,"7951 1263/62",,"Lunes a Viernes 7.30 a 16 hs. / Sábados 8 a 12 hs.",,http://www.aprofam.org.gt/,,,,,,,,,,"7951 1263/62",,"Lunes a Viernes 7.30 a 16 hs. / Sábados 8 a 12 hs.",,http://www.aprofam.org.gt/,,,,,,,,,SI,SI,SI,SI,SI,SI
106,"APROFAM - Clínica y Hospital Escuintla","Asociación Miembro IPPF/WHR","1a. Avenida",03-03,,,"Zona 1","Zona 1",Escuintla,Escuintla,Guatemala,1,,,14.3003159,-90.788269,1,,SI,SI,SI,SI,NO,SI,NO,"7889 8992/93/94",,"Lunes a Viernes 7 a 15 hs. / Sábados 7 a 12 hs.",,http://www.aprofam.org.gt/,,,"7889 8992/93/94",,"Lunes a Viernes 7 a 15 hs. / Sábados 7 a 12 hs.",,http://www.aprofam.org.gt/,,"Realización de pruebas de ITS","7889 8992/93/94",,"Lunes a Viernes 7 a 15 hs. / Sábados 7 a 12 hs.",,http://www.aprofam.org.gt/,,,"7889 8992/93/94",,"Lunes a Viernes 7 a 15 hs. / Sábados 7 a 12 hs.",,http://www.aprofam.org.gt/,,,,,,,,,,"7889 8992/93/94",,"Lunes a Viernes 7 a 15 hs. / Sábados 7 a 12 hs.",,http://www.aprofam.org.gt/,,,,,,,,,SI,SI,SI,SI,SI,SI
107,"APROFAM - Clínica y Hospital Huhuetenango","Asociación Miembro IPPF/WHR","6a. Calle ""C""",03-69,"Zona 5",,"Paula María","Paula María",Huhuetenango,Huhuetenango,Guatemala,1,,,15.3147084,-91.4801928,1,,SI,SI,SI,SI,NO,SI,NO,"7764 9018/19/21",,"Lunes a Viernes 8 a 16 hs. / Sábados 8 a 12 hs.",,http://www.aprofam.org.gt/,,,"7764 9018/19/21",,"Lunes a Viernes 8 a 16 hs. / Sábados 8 a 12 hs.",,http://www.aprofam.org.gt/,,"Realización de pruebas de ITS","7764 9018/19/21",,"Lunes a Viernes 8 a 16 hs. / Sábados 8 a 12 hs.",,http://www.aprofam.org.gt/,,,"7764 9018/19/21",,"Lunes a Viernes 8 a 16 hs. / Sábados 8 a 12 hs.",,http://www.aprofam.org.gt/,,,,,,,,,,"7764 9018/19/21",,"Lunes a Viernes 8 a 16 hs. / Sábados 8 a 12 hs.",,http://www.aprofam.org.gt/,,,,,,,,,SI,SI,SI,SI,SI,SI
